,Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
6296,PUTTUR,2020-01-01,NEW VARIETY,AVERAGE,310.0,Quintal,15000.0,24500.0,19750.0,Dakshina Kannada
4730,MANGALURU,2020-01-01,NEW VARIETY,AVERAGE,85.0,Quintal,20000.0,24500.0,22000.0,Dakshina Kannada
3007,BELTHANGADI,2020-01-01,OTHER,AVERAGE,3.0,Quintal,21000.0,22000.0,21500.0,Dakshina Kannada
4754,MANGALURU,2020-01-01,OLD VARIETY,AVERAGE,95.0,Quintal,25000.0,29500.0,28000.0,Dakshina Kannada
4706,MANGALURU,2020-01-01,COCA,AVERAGE,100.0,Quintal,16000.0,21500.0,19000.0,Dakshina Kannada
1320,BANTWALA,2020-01-01,OLD VARIETY,AVERAGE,70.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
6272,PUTTUR,2020-01-01,COCA,AVERAGE,725.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
5366,MANGALURU,2020-01-01,GRADE- II,AVERAGE,1200.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
8230,SULYA,2020-01-01,OLD VARIETY,AVERAGE,106.0,Quintal,24000.0,29500.0,28600.0,Dakshina Kannada
1272,BANTWALA,2020-01-01,COCA,AVERAGE,150.0,Quintal,8500.0,16500.0,15000.0,Dakshina Kannada
5390,MANGALURU,2020-01-01,GRADE-I,AVERAGE,1000.0,Numbers,16000.0,30000.0,24000.0,Dakshina Kannada
1296,BANTWALA,2020-01-01,NEW VARIETY,AVERAGE,80.0,Quintal,18000.0,24500.0,22000.0,Dakshina Kannada
7740,PUTTUR,2020-01-01,OTHER,AVERAGE,7.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
5610,MANGALURU,2020-01-01,BLACK PEPPER,AVERAGE,25.0,Quintal,25000.0,32000.0,27000.0,Dakshina Kannada
8766,SULYA,2020-01-01,BLACK PEPPER,AVERAGE,1.0,Quintal,21000.0,31500.0,30000.0,Dakshina Kannada
2965,BELTHANGADI,2020-01-01,COCA,AVERAGE,2.0,Quintal,17000.0,18000.0,17500.0,Dakshina Kannada
6273,PUTTUR,2020-01-02,COCA,AVERAGE,470.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
2812,BELTHANGADI,2020-01-02,COCA,AVERAGE,3.0,Quintal,16500.0,18000.0,17000.0,Dakshina Kannada
2824,BELTHANGADI,2020-01-02,NEW VARIETY,AVERAGE,312.0,Quintal,24000.0,25100.0,24500.0,Dakshina Kannada
1297,BANTWALA,2020-01-02,NEW VARIETY,AVERAGE,50.0,Quintal,18000.0,24800.0,22000.0,Dakshina Kannada
1273,BANTWALA,2020-01-02,COCA,AVERAGE,100.0,Quintal,8500.0,16500.0,15000.0,Dakshina Kannada
6297,PUTTUR,2020-01-02,NEW VARIETY,AVERAGE,185.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
4621,MANGALURU,2020-01-02,NEW VARIETY,AVERAGE,75.0,Quintal,20000.0,25000.0,22000.0,Dakshina Kannada
4599,MANGALURU,2020-01-02,COCA,AVERAGE,95.0,Quintal,16000.0,22000.0,19000.0,Dakshina Kannada
1321,BANTWALA,2020-01-02,OLD VARIETY,AVERAGE,40.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
8231,SULYA,2020-01-02,OLD VARIETY,AVERAGE,54.0,Quintal,24000.0,29500.0,27600.0,Dakshina Kannada
5567,MANGALURU,2020-01-02,BLACK PEPPER,AVERAGE,50.0,Quintal,25000.0,30500.0,27000.0,Dakshina Kannada
7741,PUTTUR,2020-01-02,OTHER,AVERAGE,4.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
5343,MANGALURU,2020-01-02,GRADE-I,AVERAGE,750.0,Numbers,16000.0,28000.0,25000.0,Dakshina Kannada
4643,MANGALURU,2020-01-02,OLD VARIETY,AVERAGE,85.0,Quintal,25000.0,29300.0,28000.0,Dakshina Kannada
5321,MANGALURU,2020-01-02,GRADE- II,AVERAGE,850.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
8210,SULYA,2020-01-02,NEW VARIETY,AVERAGE,6.0,Quintal,17000.0,25000.0,23500.0,Dakshina Kannada
8767,SULYA,2020-01-03,BLACK PEPPER,AVERAGE,13.0,Quintal,21000.0,31500.0,26200.0,Dakshina Kannada
8636,SULYA,2020-01-03,GRADE- II,AVERAGE,53136.0,Numbers,7000.0,14000.0,9500.0,Dakshina Kannada
8189,SULYA,2020-01-03,COCA,AVERAGE,1.0,Quintal,8500.0,17000.0,14500.0,Dakshina Kannada
1322,BANTWALA,2020-01-03,OLD VARIETY,AVERAGE,30.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
1298,BANTWALA,2020-01-03,NEW VARIETY,AVERAGE,40.0,Quintal,18000.0,24800.0,22000.0,Dakshina Kannada
